=~=~=~=~=~=~=~=~=~=~=~= MobaXterm log 2022.09.28 14:57:40 =~=~=~=~=~=~=~=~=~=~=~=

Password:
Login incorrect
login: root
Password:
No home directory.
Logging in with home = "/".
# slog2info -w | grep UpdateService
Jan 01 00:00:14.922          UpdateService.2781347                           0  -----ONLINE-----
Jan 01 00:00:14.922          UpdateService.2781347          persistency*     0  [psis_init][1339] Psis is initializing.
Jan 01 00:00:14.922          UpdateService.2781347          persistency      0  [psis_init][1340] Initialize shadow memory.
Jan 01 00:00:14.922          UpdateService.2781347          persistency      0  [psis_init][1376] Initialize Root and working directory will be created.
Jan 01 00:00:14.922          UpdateService.2781347          persistency      0  [psis_init][1383] Initialize shared memory.
Jan 01 00:00:14.922          UpdateService.2781347          persistency      0  [psis_on_init_pass1][504] DS[432], HS[1620], SS(header)[83540], SS[81920], VO[432], ALO[436], AEO[492], LO[496], AUDO[500], SO(k-v)[1620]
Jan 01 00:00:14.922          UpdateService.2781347          persistency      0  [psis_on_init_pass1][556] Open shared memory[/persistency_mgr_bosch]
Jan 01 00:00:14.928          UpdateService.2781347          persistency      0  [psis_on_init_pass1][583] Set alternative shadow(offset:1620).
Jan 01 00:00:14.928          UpdateService.2781347          persistency      0  [psis_on_init_pass1][504] DS[16], HS[308], SS(header)[16692], SS[16384], VO[16], ALO[20], AEO[76], LO[80], AUDO[84], SO(k-v)[308]
Jan 01 00:00:14.928          UpdateService.2781347          persistency      0  [psis_on_init_pass1][556] Open shared memory[/persistency_mgr_ecarx]
Jan 01 00:00:14.929          UpdateService.2781347          persistency      0  [psis_on_init_pass1][583] Set alternative shadow(offset:308).
Jan 01 00:00:14.929          UpdateService.2781347          persistency      0  [psis_init][1430] Initialize variant.
Jan 01 00:00:14.929          UpdateService.2781347          persistency      0  [psis_init][1461] Initialize from default file.
Jan 01 00:00:14.929          UpdateService.2781347          persistency      0  [psis_init][1513] Psis has been initialized.
Jan 01 00:00:14.968         CMW_Cluster.2781347..0           clusterlog*     0  [UpdateService]UpdateModule::init version 20220902_1
Jan 01 00:00:14.968            CMW_Cluster.2781347           clusterlog*     0  [UpdateService]UpdateEngine::init
Jan 01 00:00:14.969            CMW_Cluster.2781347           clusterlog      0  [UpdateService]UpdateEngine::onInit
Jan 01 00:19:00.918        CMW_Cluster.2781347..11           clusterlog*     0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:00.918        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:05.942        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:05.942        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:10.963        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:10.963        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:15.993        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:15.993        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:21.014        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:21.014        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:26.039        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:26.039        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:31.061        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:31.061        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:36.091        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:36.091        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:41.116        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:41.116        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:46.134        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:46.135        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:51.158        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:51.158        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:19:56.182        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:19:56.182        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:01.201        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:01.201        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:06.226        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:06.226        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:11.256        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [137]V
Jan 01 00:20:11.256        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 137
Jan 01 00:20:16.288        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:16.288        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:21.309        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:21.309        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:26.334        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:26.334        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:31.353        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:31.353        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:36.379        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:36.379        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:41.398        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:41.398        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:46.430        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:46.430        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:51.454        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:51.454        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:20:56.474        CMW_Cluster.2781347..14           clusterlog*     0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:20:56.474        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:20:56.474        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:01.475        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:01.496        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:01.496        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:01.496        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:06.497        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:06.518        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:06.518        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:06.518        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:11.520        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:11.550        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:11.550        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:11.550        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:16.552        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:16.575        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:16.575        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:16.575        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:21.576        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:21.597        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:21.597        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:21.597        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:26.598        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
Jan 01 00:21:26.615        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue : voltage 138
Jan 01 00:21:26.616        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]Get Voltage Value! VoltageValue [138]V
Jan 01 00:21:26.616        CMW_Cluster.2781347..11           clusterlog      0  [UpdateService]dump voltage value 138
Jan 01 00:21:31.619        CMW_Cluster.2781347..14           clusterlog      0  [UpdateService]BootCtrlProxy::getVoltageValue
